hash_cartao;tipo_transacao;valor;conta;data_transacao
c57e3608-10d1-4314-8fa2-e554d0da5457;DEBIT;200;101;15/08/2018
591611af-adcd-4076-9d97-1090fd78d09a;CREDIT;129.30;101;15/08/2018 
6f0e09f4-0442-490a-b8ec-774240f8badb;CREDIT;132.33;102;15/08/2018
b11e01d2-4a30-4158-858e-157f1f55bc6d;CREDIT;42;102;15/08/2018
57d9bfd7-736a-47c9-9484-1989361a8220;DEBIT;33;103;15/08/2018
aebd205d-db84-4589-b8b7-5b6236e1033a;CREDIT;115;103;15/08/2018
1cb8ee27-8966-494c-9fa8-2944d87de09b;DEBIT;45.30;101;15/08/2018
9f22932d-5c01-48db-a0ff-3f450d139f62;CREDIT;24.00;101;15/08/2018
804ffb8b-b123-4bdc-a7a9-05651ce3099a;CREDIT;118.44;102;15/08/2018
ef6a7d2d-4470-4763-852b-c645aa98dd67;DEBIT;99;102;15/08/2018
b7017530-f79d-4da4-adb0-f3d69b1ece2d;CREDIT;102.31;103;15/08/2018
1946b43b-3ae3-4580-819c-26fd522b5bd6;DEBIT;25.00;103;15/08/2018
c3c88405-9069-4e05-979b-66b16cce8db0;CREDIT;66.06;101;15/08/2018
68dbc961-8af8-4544-829f-20b4421b94ee;CREDIT;1120;101;15/08/2018
ab93e34e-63f5-4208-bbf9-9bcf81d79aab;CREDIT;10.01;102;15/08/2018
74eef40a-5b13-4995-927e-c6f4451e01ab;CREDIT;22.30;102;15/08/2018
f737037b-8cc8-408d-968e-32aa0eb44052;DEBIT;30;103;15/08/2018
421ea591-3d15-4771-8f21-2d82f03a6a76;DEBIT;31.05;103;15/08/2018
f52c9878-ec75-46a9-9c0c-379ef01604e1;CREDIT;20.00;101;15/08/2018
ecf16f9e-fa27-4fcf-a779-da50b4ff8eb1;CREDIT:7;101;15/08/2018
f480d21b-93e4-4907-9ece-80d22b6043a9;DEBIT;10.00;102;15/08/2018
